,Player,Team,DYAR,YAR,DVOA,VOA,QBR,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
0,Manning,DEN,"2,475","2,674",43.2%,47.5%,82.9,679,"5,347","7,040",55,3,5,10,68.5%,12/176
1,Rivers,SD,"1,799","1,884",34.8%,37.0%,71.7,575,"4,363","5,599",32,1,2,11,69.6%,13/197
2,Brees,NO,"1,701","1,550",26.9%,23.6%,70.5,687,"4,906","5,916",39,3,2,12,68.9%,4/66
3,Ryan,ATL,"1,124",825,13.3%,6.8%,61.1,695,"4,195","5,228",26,0,4,16,67.7%,10/151
4,Foles,PHI,"1,011","1,111",35.6%,40.2%,69.0,347,"2,690","3,117",27,2,2,2,64.4%,2/55
5,Brady,NE,979,859,10.9%,8.2%,61.1,665,"4,065","4,913",25,4,2,10,61.0%,13/223
6,Romo,DAL,839,898,11.5%,13.1%,59.5,572,"3,556","4,120",31,3,1,9,64.2%,7/81
7,Kaepernick,SF,791,650,16.6%,11.7%,68.6,456,"2,969","3,358",21,1,3,7,58.4%,5/92
8,Wilson,SEA,770,699,15.6%,13.1%,58.9,453,"3,070","3,364",26,5,5,8,64.0%,6/142
9,Rodgers,GB,740,762,25.4%,26.4%,68.7,310,"2,413","2,644",18,3,0,6,66.8%,2/37
10,Roethlisberger,PIT,724,764,6.6%,7.6%,54.3,621,"3,981","4,267",28,1,5,14,64.9%,4/97
11,Stafford,DET,690,838,4.9%,8.3%,52.6,658,"4,431","4,402",29,3,4,19,59.1%,6/64
12,McCown,CHI,659,773,32.1%,39.6%,85.1,236,"1,786","2,124",13,1,1,1,66.7%,1/19
13,Luck,IND,650,623,4.6%,3.9%,62.0,606,"3,612","4,213",23,3,2,9,60.5%,13/238
14,Palmer,ARI,547,361,2.7%,-2.0%,51.9,614,"3,966","3,922",24,3,3,22,63.7%,13/207
15,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
16,Dalton,CIN,541,612,2.3%,4.1%,55.8,615,"4,088","3,976",33,1,3,20,62.2%,6/137
17,Newton,CAR,421,321,1.7%,-1.3%,56.2,513,"3,040","3,198",24,0,1,13,62.1%,6/55
18,Cutler,CHI,392,423,5.5%,6.8%,66.4,371,"2,481","2,437",19,1,3,11,64.1%,2/34
19,Bradford,STL,304,387,5.2%,9.7%,48.0,277,"1,602","1,910",14,1,1,4,60.7%,5/124
