,Player,Team,DYAR,YAR,DVOA,VOA,QBR,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
20,Smith,KC,262,416,-3.7%,0.7%,49.4,545,"3,080","3,194",23,3,3,7,61.2%,11/122
21,Fitzpatrick,TEN,179,112,-3.6%,-6.4%,55.4,369,"2,359","2,147",14,5,2,12,62.5%,1/8
22,Glennon,TB,99,-73,-7.7%,-13.6%,45.6,459,"2,260","2,490",19,2,3,9,59.8%,11/198
23,Cassel,MIN,92,-7,-5.9%,-11.5%,48.7,271,"1,718","1,539",11,2,1,9,60.2%,2/36
24,Locker,TEN,69,130,-5.7%,-0.9%,58.1,199,"1,139","1,116",8,1,0,4,61.0%,2/45
25,Clemens,STL,60,-133,-7.5%,-19.1%,38.2,262,"1,526","1,424",8,3,2,7,58.9%,3/17
26,Tannehill,MIA,54,22,-9.8%,-10.6%,45.8,643,"3,508","3,419",24,3,4,17,60.8%,3/44
27,Vick,PHI,40,49,-6.9%,-6.0%,58.7,157,"1,098",819,5,2,2,3,55.0%,0/0
28,Hoyer,CLE,5,27,-10.4%,-7.2%,47.5,103,553,546,5,0,0,3,60.4%,0/0
29,McGloin,OAK,-11,62,-11.9%,-6.7%,49.7,219,"1,495","1,111",8,3,1,8,55.9%,4/84
30,Campbell,CLE,-24,-80,-12.2%,-14.8%,38.6,332,"1,912","1,715",11,1,2,8,57.1%,2/32
31,ayer,Team,DYAR,YAR,DVOA,VOA,QBR,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
32,Ponder,MIN,-42,19,-13.5%,-10.1%,51.2,267,"1,523","1,356",7,1,3,9,63.8%,4/121
33,Griffin,WAS,-60,98,-13.1%,-8.0%,40.1,495,"2,912","2,423",16,4,3,12,60.8%,2/11
34,Lewis,BUF,-84,-138,-18.7%,-23.5%,24.1,176,990,785,4,4,1,3,59.2%,0/0
35,Henne,JAC,-94,-149,-13.9%,-15.5%,31.9,541,"2,972","2,623",13,2,0,14,61.0%,5/88
36,Schaub,HOU,-123,-115,-16.2%,-15.9%,37.3,380,"2,128","1,796",10,1,1,14,61.3%,5/82
37,Freeman,2TM,-176,-208,-29.7%,-33.1%,6.1,156,696,524,2,1,1,4,42.9%,1/22
38, Manuel,BUF,-190,-87,-19.9%,-15.2%,42.3,335,"1,814","1,486",11,2,3,9,59.2%,9/114
39,Keenum,HOU,-191,-201,-22.4%,-22.9%,34.5,270,"1,550","1,111",9,3,3,6,55.2%,1/7
40,Flynn,2TM,-196,-29,-24.5%,-13.1%,3.1,225,"1,253",917,8,0,4,5,62.0%,3/74
41,Flacco,BAL,-296,-242,-18.1%,-16.9%,46.7,661,"3,579","3,005",19,6,2,22,59.1%,14/295
42,Cousins,WAS,-314,-300,-42.6%,-41.2%,26.5,160,820,376,4,1,2,7,52.9%,0/0
43,Manning,NYG,-335,-202,-20.2%,-16.6%,36.5,590,"3,471","2,529",18,3,1,26,58.1%,11/190
44,Smith,NYJ,-371,-434,-23.6%,-25.7%,35.9,485,"2,739","1,888",12,1,3,21,55.9%,5/96
45,Pryor,OAK,-388,-398,-31.6%,-32.1%,30.5,304,"1,542",999,8,3,2,11,58.0%,2/28
46,Weeden,CLE,-443,-429,-36.1%,-35.4%,24.7,293,"1,535",824,9,4,2,9,53.2%,1/23
